Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demotest,Chrome 72.0.3626.119,,2019-02-28 15:28:46,2019-02-28 15:30:00,1m - 13.627s,PASSED
,,,,,,
Test Cases/Commission Login_Logout/Commission Login,Chrome 72.0.3626.119,,2019-02-28 15:28:47,2019-02-28 15:29:58,1m - 10.520s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.119,,2019-02-28 15:28:47,2019-02-28 15:28:48,0.055s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-02-28 15:28:48,2019-02-28 15:28:56,8.215s,PASSED
navigateToUrl(BecURL),Chrome 72.0.3626.119,,2019-02-28 15:28:56,2019-02-28 15:29:10,13.419s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 15:29:10,2019-02-28 15:29:12,2.207s,PASSED
"Assert.assertEquals(getText(findTestObject(""LoginPage/Header_homepage"")), header_name)",Chrome 72.0.3626.119,User can verify that whether login page has loaded or not,2019-02-28 15:29:12,2019-02-28 15:29:14,2.192s,PASSED
"setText(findTestObject(""LoginPage/input_Username_username""), Bec_UserName)",Chrome 72.0.3626.119,,2019-02-28 15:29:14,2019-02-28 15:29:19,4.496s,PASSED
"setText(findTestObject(""LoginPage/input_Password_password""), Bec_Password)",Chrome 72.0.3626.119,,2019-02-28 15:29:19,2019-02-28 15:29:23,4.290s,PASSED
"waitForElementClickable(findTestObject(""LoginPage/Login_Button""), 2)",Chrome 72.0.3626.119,,2019-02-28 15:29:23,2019-02-28 15:29:25,2.153s,PASSED
"click(findTestObject(""LoginPage/Login_Button""))",Chrome 72.0.3626.119,,2019-02-28 15:29:25,2019-02-28 15:29:27,2.165s,PASSED
waitForPageLoad(2),Chrome 72.0.3626.119,,2019-02-28 15:29:27,2019-02-28 15:29:28,1.119s,PASSED
"click(findTestObject(""MessagesPage/Icon_Apps""))",Chrome 72.0.3626.119,,2019-02-28 15:29:28,2019-02-28 15:29:32,3.715s,PASSED
"mouseOver(findTestObject(""MessagesPage/Link_Commissions""))",Chrome 72.0.3626.119,,2019-02-28 15:29:32,2019-02-28 15:29:35,3.138s,PASSED
"scrollToElement(findTestObject(""MessagesPage/Link_Commissions""), 1)",Chrome 72.0.3626.119,,2019-02-28 15:29:35,2019-02-28 15:29:37,2.091s,PASSED
"click(findTestObject(""MessagesPage/Link_Commissions""))",Chrome 72.0.3626.119,,2019-02-28 15:29:37,2019-02-28 15:29:57,19.386s,PASSED
waitForPageLoad(3),Chrome 72.0.3626.119,,2019-02-28 15:29:57,2019-02-28 15:29:58,1.021s,PASSED
